         CRIM     ZN  INDUS  CHAS     NOX     RM   AGE      DIS   RAD    TAX  PTRARIO       B  LSTAT    PRICE
0    0.894213   54.0  15.94   1.0  0.1999  5.031  36.1   6.6237   1.0  219.0     12.5    2.11   9.97    58.77
1    0.367423   17.0   3.70   0.0  0.0664  6.726  75.2   2.2245  13.0  474.0     24.6   12.19  23.60    43.68
2    0.632278   76.0   0.93   0.0  0.5421  7.765  79.4   8.6763   6.0  312.0     24.8    2.72  28.20   154.44
3    0.644100    4.0   7.57   1.0  0.2414  6.933  44.8   3.2468  14.0  463.0     21.1  376.27   3.00   176.38
4    1.604139    0.0   1.57   1.0  0.7914  7.644   4.9   2.5525  10.0  358.0     24.3  375.87  29.77   453.92
5    0.925631   97.0  16.75   0.0  0.3466  7.466  52.8   2.0882  14.0  468.0     13.4  395.33  11.15    81.38
6    0.818233   51.0   7.84   1.0  0.5160  6.860  15.6  11.1227  22.0  372.0     10.6  370.43   8.75   183.56
7    2.804623   11.0  12.31   1.0  0.5335  7.551  83.8  12.7327   4.0  284.0     11.4  346.81  10.47   204.09
8    0.837107   58.0   4.67   1.0  0.5741  6.153  41.7  10.4711   8.0  334.0     22.8   47.79  22.78   136.45
9    0.827503   27.0  16.47   1.0  0.5661  5.912  36.2  10.5737  24.0  413.0     14.3   58.08   4.99   150.45
10   0.265482    0.0   1.81   0.0  0.5827  7.688  48.0   5.0062   7.0  496.0     24.8   59.31  11.81   149.61
11   0.663302   39.0  13.08   1.0  0.0776  7.956  26.1   9.3109  22.0  313.0     11.0  370.62  13.78   118.70
12   0.868410    9.0   8.55   0.0  0.5789  7.609  69.5   8.8901  18.0  495.0     22.1   40.63   2.94   199.86
13   0.505807    6.0   2.97   0.0  0.6821  5.757  26.4   9.1274  18.0  422.0     15.1  316.27  26.44   157.28
14   0.686129   44.0   3.08   0.0  0.2253  7.484  99.3  11.8906   9.0  375.0     18.3  398.86  14.02   153.31
15   0.609987   75.0  23.45   0.0  0.5239  7.482  27.0   6.1745   3.0  352.0     16.5  363.64  16.53   130.38
16   0.963277   36.0   7.35   0.0  0.5695  5.426  31.8  12.6875  12.0  279.0     24.0   56.32  28.85   143.16
17   1.181334   92.0   2.60   0.0  0.5503  5.913  20.4   6.0893  24.0  252.0     10.1   73.45  14.67    92.63
18   0.499074    5.0   8.86   0.0  0.2336  6.968  67.2   9.6103  14.0  203.0     14.9  367.98  17.33   116.45
19   0.773288   45.0   4.95   1.0  0.1894  7.832  19.8  10.1552   6.0  292.0     23.1  338.68   5.10   161.93
20   0.573610   15.0  17.73   1.0  0.1507  7.116  22.8   0.8258  16.0  232.0     23.0    2.21  14.12    27.30
21   0.102742    0.0  12.05   0.0  0.3987  6.059  79.1   6.4547   8.0  365.0     17.1  393.62   9.69   121.53
22   0.295112   86.0  11.61   1.0  0.6321  5.807  33.4   0.2147   5.0  360.0     12.5  367.71  10.41    82.99
23   0.332722   93.0   4.75   1.0  0.9726  6.710  96.3   8.2737  16.0  347.0     21.2   13.11  26.77   777.81
24   0.482841   54.0  17.37   0.0  0.9424  7.224  69.0   2.0383   1.0  328.0     23.5   90.68  20.05   935.40
25   1.398899    8.0   9.11   1.0  0.8222  7.203  45.1   2.3660   0.0  206.0     11.0  312.93   7.63   437.74
26   0.174104   19.0  15.71   1.0  0.3184  5.256  42.4   1.9889  19.0  457.0     15.2  300.34  22.48    52.85
27   0.643034   52.0  24.12   0.0  0.9040  6.411   6.8  10.7722  14.0  238.0     22.7  374.77  11.28   462.03
28   1.169252    4.0   8.89   0.0  0.1732  7.277  16.8   2.4869  15.0  341.0     19.0  316.72  25.70    51.43
29   2.334078    4.0  15.46   0.0  0.6561  6.652  21.4   6.1532  13.0  458.0     15.4  373.14  26.99   157.73
30   1.534155    3.0  12.28   0.0  0.4874  6.495  82.1   9.2857   1.0  468.0     18.9  322.60  18.64   133.76
31   0.787149   82.0  23.64   1.0  0.6709  6.699  83.0  12.8114   1.0  385.0     23.4  309.63  29.47   219.99
32   0.825111   53.0  13.83   0.0  0.7930  5.062  56.9  10.6928  10.0  492.0     13.3  351.90  27.56   175.99
33   2.725927   69.0  24.24   1.0  0.1796  7.392  26.6   8.7468  22.0  448.0     10.6  350.78  17.54   113.39
34   0.683552   15.0   2.70   1.0  0.4261  7.325  93.6   8.4559   8.0  456.0     17.7  349.98  25.31   126.91
35   0.066768   47.0   8.66   1.0  0.6425  6.464  66.8   4.7758  17.0  339.0     23.1   74.73  20.01   131.19
36   0.840271   25.0  20.84   0.0  0.0950  7.425  20.1   7.6576  16.0  406.0     19.4  345.22  27.90    96.71
37   0.862459   47.0  22.24   0.0  0.4087  5.429  71.9   5.8481  22.0  362.0     21.4   97.10  23.93    90.78
38   0.075669   68.0  10.16   1.0  0.2455  7.136  41.4   9.9354   7.0  277.0     14.6  340.83  19.76   112.27
39   0.743023   15.0  14.49   0.0  0.8048  6.082  27.1   1.4012   7.0  294.0     19.1  376.83  17.07   176.49
40   2.718262   41.0  11.63   0.0  0.5183  6.597  70.2   0.1148   5.0  479.0     21.8  330.47  20.51    60.18
41   0.150175   33.0  23.98   1.0  0.8979  7.304   8.5  11.9036   8.0  366.0     18.1  366.35  19.95   832.56
42   0.306259   30.0  17.53   1.0  0.7475  6.254  25.4   6.5991   3.0  360.0     21.3   33.98  13.79   171.66
43   1.153923   35.0  24.65   1.0  0.2200  5.044  21.0   2.0877   3.0  251.0     22.5   79.96  14.42    30.38
44   0.693695   12.0   4.67   1.0  0.4978  6.475  92.2   1.0323  23.0  371.0     16.5  366.60  29.06    72.12
45   0.791947   36.0  23.51   0.0  0.9890  6.810  15.1   3.7235  10.0  214.0     22.0  307.67  18.59   898.45
46   2.009892   98.0  25.99   0.0  0.2247  7.662  45.1  10.9451  17.0  426.0     18.7   21.87  29.86   120.68
47   1.156424   85.0  19.61   1.0  0.0853  7.525  24.9  10.9115   5.0  245.0     17.5   46.69   4.93   104.18
48   0.783500    3.0   2.74   1.0  0.7508  7.596  37.3   1.6452  16.0  483.0     17.8    1.89  11.54   331.15
49   0.596489   65.0   3.27   1.0  0.8002  7.237  78.7  11.7089   8.0  262.0     12.3  301.85  24.50   446.50
50   1.669700    4.0   8.41   0.0  0.6853  5.381  15.2  10.1172   7.0  312.0     10.3  335.96  15.81   150.94
51   0.616662   29.0  22.30   1.0  0.3510  5.049  50.6   6.1644  10.0  309.0     22.4   69.78   5.81    83.64
52   1.579537   50.0   4.11   0.0  0.6567  5.455  64.7   3.7701  12.0  360.0     18.7   66.36  17.96    88.50
53   0.532758   72.0  20.24   1.0  0.5346  6.443  25.7   2.8795  21.0  403.0     22.6  325.82   6.69   127.83
54   0.338518   25.0  17.17   1.0  0.9748  5.202  28.9   7.6804   1.0  355.0     12.2  362.34   6.04   288.74
55   0.585650   35.0   0.21   0.0  0.9062  6.152  55.7   4.3330   3.0  285.0     24.5   14.81  14.01   309.77
56   2.156877   50.0  24.33   0.0  0.7239  7.134  52.5   7.9533  24.0  483.0     18.7   96.31  26.26   274.48
57   0.424558   54.0  24.00   1.0  0.2993  6.097  69.3   3.6811   0.0  247.0     10.5   92.85   5.31    60.18
58   0.711266   67.0  13.73   0.0  0.8683  7.456  51.8   5.9520  18.0  265.0     12.0   84.10   7.79   721.98
59   0.915561   35.0  17.83   1.0  0.1122  6.474  60.6   8.5753   9.0  434.0     14.3  370.03  16.21   111.55
60   2.511901   84.0   5.35   1.0  0.8747  6.907  89.7   1.9657   6.0  316.0     21.2  326.86  29.93   462.91
61   0.317504   30.0   4.06   1.0  0.4598  6.942  94.0   9.2839   0.0  382.0     14.5   59.44   6.68   122.73
62   0.209238    4.0   9.14   0.0  0.9384  7.219  98.0   0.6209  18.0  463.0     19.5   67.58   6.47   916.42
63   1.069821   34.0   5.74   1.0  0.0029  5.266  75.0   9.1812  24.0  450.0     12.1   64.90  18.09   105.10
64   0.743457   74.0   7.81   1.0  0.8874  5.575  59.3   7.8499  22.0  384.0     10.2  357.52  12.29   253.43
65   0.480808   87.0  11.13   1.0  0.2359  7.988  45.3   5.7663   1.0  289.0     23.9   25.82  10.54    61.93
66   0.179127   73.0  22.71   1.0  0.5169  7.752  38.6   0.0082  13.0  310.0     24.9   62.08   4.05    88.24
67   0.797509   53.0  20.67   0.0  0.5471  7.694  10.7   8.7688  23.0  327.0     18.2  307.96  11.35   187.22
68   0.191025    2.0   1.25   1.0  0.4390  6.138  35.8   6.4283   7.0  331.0     13.1   83.69  29.02    79.27
69   0.539990    6.0  24.09   0.0  0.9168  7.211  48.1   7.1505  17.0  430.0     24.6  375.50  20.00   847.85
70   0.353152   74.0   7.30   0.0  0.2220  6.408  55.0   6.7064   9.0  432.0     11.7  389.62   6.31   135.49
71   0.760666   80.0  11.18   0.0  0.3227  6.032  24.5   8.8930   2.0  323.0     13.6  397.70   4.58   172.54
72   0.601994   13.0  18.23   1.0  0.7659  6.307  23.0   4.7500   9.0  450.0     10.9   69.69   2.79   199.31
73   0.087441   81.0  18.75   1.0  0.9811  6.813  86.7   7.2812  23.0  342.0     22.8    9.26   7.40   893.74
74   0.922019   71.0   2.90   1.0  0.1178  6.999  82.2   7.6713  15.0  402.0     11.2  334.81  26.78    96.49
75   0.815996   67.0  13.86   0.0  0.0502  5.045  94.0  10.9844  22.0  203.0     12.7   60.46   9.79   113.70
76   1.201938   46.0   6.98   0.0  0.6031  5.666  64.0   0.5570  22.0  302.0     13.9   42.05  19.63    57.36
77   0.516142   56.0   9.53   0.0  0.2707  7.284  17.9   2.0107  10.0  405.0     21.8  365.51  11.93    67.10
78   2.618544   38.0   8.31   0.0  0.4431  7.437  98.1   2.0349   2.0  300.0     24.0    7.58   2.66    59.45
79   0.673982   96.0  22.75   0.0  0.5870  5.643  19.8   7.5205   2.0  338.0     12.2  376.22  16.12   117.97
80   2.959957   23.0   7.41   0.0  0.2089  6.226  61.7   5.7979  13.0  296.0     20.0   21.29  25.30    69.99
81   0.976093   70.0   7.36   1.0  0.2714  6.543  46.3   5.2495  23.0  452.0     11.4  344.66  28.56    80.09
82   2.571168   30.0   0.20   0.0  0.8607  7.743  13.2   3.8642  22.0  215.0     12.4   19.06   6.87   830.44
83   0.978127   49.0  10.45   1.0  0.5525  7.433   7.7   2.0797  17.0  373.0     24.0  350.94   4.73   171.05
84   0.659106   94.0  25.74   0.0  0.9927  6.436  85.1   6.2845   9.0  326.0     16.0   45.11   3.37   676.63
85   0.258065   38.0  21.24   0.0  0.0360  7.533  18.8   2.4190  17.0  296.0     22.3  309.42  22.76    53.44
86   2.125353   66.0  19.38   0.0  0.0681  5.262  56.5   6.1730   7.0  341.0     12.9    7.15  25.15    64.04
87   0.293223   63.0   5.06   0.0  0.7715  6.698   9.2   6.3231  18.0  354.0     16.8   31.49   9.92   246.71
88   0.200551   51.0   3.21   0.0  0.2949  6.732  50.3   7.8250   7.0  221.0     17.5  393.20   7.86   129.38
89   0.765521    7.0  13.83   0.0  0.7023  5.859  67.0   1.6304  11.0  219.0     18.6    0.72  24.91    90.11
90   0.441016    4.0   7.07   1.0  0.1461  5.323  16.3   3.8467  13.0  312.0     18.5   62.32  18.67    49.16
91   0.536869   16.0   9.18   1.0  0.1439  6.623  34.9   6.6423  17.0  432.0     22.6   35.04  17.90    82.33
92   0.823250    6.0  23.48   0.0  0.8092  6.978  94.1   0.2035  17.0  387.0     14.2   88.48  24.69   308.99
93   0.172605   72.0  11.79   1.0  0.9857  5.654  34.7   7.9057   2.0  270.0     15.7   98.55  24.79   336.85
94   2.702072   27.0  22.04   1.0  0.7164  5.335  98.1   1.7474   5.0  256.0     13.7  312.48   4.49   142.66
95   2.931574   34.0  11.73   0.0  0.4417  6.828  79.9   4.8362  23.0  365.0     17.1   81.44  13.34    92.99
96   0.885828   75.0  24.40   0.0  0.6603  5.435  27.8   5.1683   8.0  449.0     14.5    1.66  21.40    90.43
97   0.822122   34.0  19.56   0.0  0.1875  7.433  41.8   6.7527   6.0  335.0     10.6  326.88  13.71    92.32
98   0.062403   89.0  17.78   1.0  0.8848  7.880  44.3   3.5440  22.0  487.0     21.5  300.15  26.38  1134.63
99   0.064449   44.0  19.36   0.0  0.6193  7.379  12.7   3.8627   6.0  432.0     23.9  381.27  10.30   175.60
100  1.478066   41.0  23.39   0.0  0.0385  6.897  78.7   7.3333  24.0  274.0     24.7  336.14  16.98   114.02
101  0.652301   56.0   1.39   0.0  0.5176  7.948   1.1   1.6827  19.0  467.0     22.8   77.31  23.55    98.54
102  0.948447   46.0   0.27   1.0  0.7741  5.623  22.1  12.7919  17.0  474.0     11.0   95.72   5.50   219.59
103  1.780537   12.0  10.03   0.0  0.4373  6.611  33.0   6.1454   3.0  305.0     17.8  348.33  26.29    88.52
104  0.905335   36.0   6.10   0.0  0.1163  6.451   5.8   7.9469  10.0  386.0     11.9   39.30  10.09    80.84
105  0.512976   75.0   3.31   1.0  0.3452  6.305  16.3  12.4665  11.0  227.0     13.2  397.40  22.44   132.11
106  0.925068   90.0  12.72   1.0  0.5114  7.644  76.6   4.0738  13.0  355.0     23.7  352.92  13.40   131.72
